Mon Lunch|||||||||||||||||||||||||
| Cauliflower in Very Cheesy Sauce |268|297|1235|16.0|14.0|n/a|n/a|n/a|n/a|31.0|4.0|354.0|654.0|386.0|1.6|||||||||
|||||||||||||||||||||||||
| Cheese & Tomato Sand |1|362.5|1515|16.35|19.55|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398|1.7|||||||||
| Chicken Salad (mayonnaise)Sandwich |1|314|1314|30.3|8.4|1.7|2.3|3.8|2.5|30.8|2.4|891.5|407.0|107.9|2.5|||||||||
| Plain Ham Sandwich |1|233|975|13.5|6.8|1.6|2.2|2.5|2.6|30.9|2.4|846.0|272.8|102.0|1.7|||||||||
| Tuna Mayonnaise Sand |1|394.5|1649|47.15|10.05|1.8|2.3|5.1|2.3|30.7|2.4|937|541.1|113.8|3.2|||||||||
| Egg & Tomato Sandwich |1|358|1504.5|18.95|16.5|4.3|6.1|3.8|4.6|35.65|2.7|537.5|520.5|241.5|3.55|||||||||
| Ham Salad |1|150.7|628|24.1|4.6|1.2|1.8|0.6|5|5.3|1.6|1788|748|36.1|2.1|||||||||
| Mixed Bean Salad |1|158|661|10.3|2.8|0.3|0.5|1|6.2|24.5|7.8|714.3|574|96.1|3.3|||||||||
| Tuna Mayonnaise Salad   |1|388.7|1624|36.8|23.6|2.7|5.6|13.1|6|6.4|1.8|629.3|687|47.3|2.39|||||||||
